section_a,section_b,journal_cat_similarity
HIV-Specific Immunity Section,Caliciviruses Section,0.4073226544622426
Viral Immunology Section,Molecular Biology Section,0.4072727272727273
Malaria Infection Biology and Immunity Unit,Autoimmunity and Functional Genomics Section,0.4072398190045249
Viral Pathogenesis Section (Laboratory of Viral Diseases),Viral Immunology Section,0.4072164948453608
Pathogenesis and Immunity Section,Malaria Immunology Section,0.40714285714285714
Vaccine Development Unit,Malaria Immunology Section,0.40714285714285714
Lymphocyte Biology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.4071207430340557
Viral Pathogenesis and Evolution Section,Retroviral Immunology Section,0.4069767441860465
Innate Immunity and Pathogenesis Section,Biology of Vector-Borne Viruses Section,0.4069264069264069
Structural Virology Section,Molecular Pathogenesis Unit,0.4067796610169492
Signaling Systems Section,Computational Biology Unit,0.4057971014492754
Type 2 Immunity Section,Retroviral Immunology Section,0.4057971014492754
Molecular and Cellular Immunology Section,HIV Pathogenesis Section,0.4057724957555178
Molecular Pathogenesis Unit,HIV Immunovirology Section,0.40540540540540543
T-Lymphocyte Biology Section,RML Microscopy Unit,0.4053156146179402
Immune Activation Section,Clinical and Molecular Retrovirology Section,0.40486409155937053
Molecular Signaling Section,Clinical and Molecular Retrovirology Section,0.40486409155937053
Pathogen Molecular Genetics Section,Molecular Microbiology Section,0.4045275590551181
HIV Pathogenesis Section,Cellular Immunology Section,0.40425531914893614
Systems Genomics Section,Disease Modeling and Transmission Section,0.4041731066460587
Molecular and Cellular Immunoregulation Section,B-Cell Molecular Immunology Section,0.40380047505938244
Systems Genomics Section,Malaria Functional Genomics Section,0.4036076662908681
Translational Immunobiology Unit,DNA Tumor Virus Section,0.4033333333333333
Molecular Development of the Immune System Section,Metaorganism Immunity Section,0.40316901408450706
Viral Pathogenesis and Evolution Section,HIV-Specific Immunity Section,0.4031413612565445
Viral Pathogenesis Section (Laboratory of Immunoregulation),RML Microscopy Unit,0.4027777777777778
HIV Immunovirology Section,Genomic Technologies Section,0.40273037542662116
Integrative Immunobiology Section,Inflammation & Innate Immunity Unit,0.40268456375838924
Viral Biochemistry Section,Immunobiology and Molecular Virology Unit,0.4025974025974026
Viral Pathogenesis and Evolution Section,DNA Tumor Virus Section,0.4025423728813559
Viral Pathogenesis and Vaccine Section,Caliciviruses Section,0.40253164556962023
Virus Ecology Section,Viral Pathogenesis Section (Laboratory of Viral Diseases),0.4024640657084189
RML Microscopy Unit,Genomic Technologies Section,0.40229885057471265
Molecular Development of the Immune System Section,HIV-Specific Immunity Section,0.4020979020979021
T-Lymphocyte Biology Section,Genomic Technologies Section,0.4020979020979021
Pathogen-Host Cell Biology Section,Molecular Microbiology Section,0.4019746121297602
Innate Immunity and Pathogenesis Section,Immunity to Pulmonary Pathogens Section,0.4019607843137255
Retroviral Immunology Section,B-Cell Immunology Section,0.40175953079178883
TSE/Prion Biochemistry Section,DNA Tumor Virus Section,0.4017094017094017
Immunopathogenesis Section (Laboratory of Immunoregulation),Immunobiology Section,0.401468788249694
Viral Pathogenesis and Evolution Section,Cellular Biology Section,0.40145985401459855
RML Microscopy Unit,HIV-Specific Immunity Section,0.4013605442176871
RML Microscopy Unit,Innate Immunity and Pathogenesis Section,0.4013377926421405
Immunobiology Section,Clinical and Molecular Retrovirology Section,0.40104849279161203
Vector Molecular Biology Section,Microbial Pathogenesis Section,0.4006024096385542
HIV-Specific Immunity Section,HIV Pathogenesis Section,0.40033500837520936
Retroviral Immunology Section,Malaria Infection Biology and Immunity Unit,0.4
Type 2 Immunity Section,Innate Immunity and Pathogenesis Section,0.4
Viral Immunology Section,Barrier Immunity Section,0.4
Viral Immunology Section,Viral Biochemistry Section,0.4
Molecular and Cellular Immunoregulation Section,Cellular Biology Section,0.3996447602131439
Viral Pathogenesis and Vaccine Section,HIV Immunovirology Section,0.39941690962099125
Malaria Infection Biology and Immunity Unit,Fungal Pathogenesis Section,0.39893617021276595
Viral Pathogenesis Section (Laboratory of Immunoregulation),TSE/Prion Biochemistry Section,0.398576512455516
Plague Section,Malaria Infection Biology and Immunity Unit,0.3981191222570533
Molecular HIV Host Interactions Section,Clinical and Molecular Retrovirology Section,0.39811320754716983
Molecular Pathogenesis Unit,Biology of Vector-Borne Viruses Section,0.3981042654028436
Molecular Development of the Immune System Section,Barrier Immunity Section,0.3978819969742814
Viral Pathogenesis Section (Laboratory of Immunoregulation),Retroviral Immunology Section,0.3978021978021978
Host-Parasite Interactions Section,Coxiella Pathogenesis Section,0.39767441860465114
Molecular Pathogenesis Unit,DNA Tumor Virus Section,0.39763779527559057
Tuberculosis Research Section,Pathogen Molecular Genetics Section,0.3976311336717428
RML Genomics Unit,Mosquito Immunity and Vector Competence Section,0.39762611275964393
Innate Immunity and Pathogenesis Section,Gene Regulation Section,0.39759036144578314
TSE/Prion Molecular Biology Section,Retroviral Immunology Section,0.39755351681957185
RML Flow Cytometry Unit,Malaria Infection Biology and Immunity Unit,0.3972602739726027
Vector Molecular Biology Section,Malaria Genetics Section,0.39703808180535965
Lung and Vascular Inflammation Section,B-Cell Molecular Immunology Section,0.39655172413793105
Molecular Genetics Section (Laboratory of Bacteriology),Malaria Cell Biology Section,0.39652173913043476
Nonhuman Primate Virology Section,Emerging Respiratory Viruses Section,0.3965183752417795
Nonhuman Primate Virology Section,Medical Virology Section,0.3965183752417795
Immunity to Pulmonary Pathogens Section,Chlamydial Diseases Section,0.39644970414201186
Salmonella-Host Cell Interactions Section,Plague Section,0.39644970414201186
T-Lymphocyte Biology Section,Plague Section,0.39603960396039606
Structural Biology Section,RML Flow Cytometry Unit,0.3959731543624161
Infectious Disease Pathogenesis Section,HIV Immunovirology Section,0.3958333333333333
Malaria Infection Biology and Immunity Unit,Inflammation & Innate Immunity Unit,0.39555555555555555
Structural Immunology Section,Signaling Systems Section,0.39555555555555555
Pathogen-Host Cell Biology Section,B-Cell Molecular Immunology Section,0.3952702702702703
Molecular Development of the Immune System Section,B-Cell Immunology Section,0.39514348785871967
Viral Pathogenesis Section (Laboratory of Viral Diseases),Neuroimmunology Unit,0.3949579831932773
T-Lymphocyte Biology Section,Infectious Disease Pathogenesis Section,0.3945945945945946
Molecular Parasitology Section,Malaria Cell Biology Section,0.39431616341030196
Immunobiology Section,Helminth Immunology Section,0.39404255319148934
Cell Signaling and Immunity Section,Barrier Immunity Section,0.39377289377289376
Immunopathogenesis Section (Laboratory of Immunoregulation),Clinical Research Section,0.3937592867756315
Nonhuman Primate Virology Section,Disease Modeling and Transmission Section,0.39322033898305087
Viral Pathogenesis and Vaccine Section,Barrier Immunity Section,0.3929203539823009
Molecular and Cellular Immunology Section,Immunobiology Section,0.3929098966026588
TSE/Prion Biochemistry Section,Cellular Biology Section,0.3927007299270073
RML Microscopy Unit,Pathogen-Host Cell Biology Section,0.3926605504587156
Molecular and Cellular Immunology Section,Human Eosinophil Section,0.39226519337016574
Virus Ecology Section,Pathogen-Host Cell Biology Section,0.3922480620155039
Type 2 Immunity Section,Inflammation & Innate Immunity Unit,0.3922413793103448
Systems Genomics Section,Molecular Microbiology Section,0.39213349225268174
Molecular and Cellular Immunoregulation Section,HIV Pathogenesis Section,0.3921200750469043
Mucosal Immunobiology Section,Mucosal Immunity Section,0.3920595533498759
Metaorganism Immunity Section,HIV Pathogenesis Section,0.39195979899497485
Molecular Development of the Immune System Section,Cellular Immunology Section,0.3918918918918919
Plague Section,HIV-Specific Immunity Section,0.3918918918918919
T-Lymphocyte Biology Section,Cell Signaling and Immunity Section,0.39184952978056425
HIV Pathogenesis Section,Emerging Virus Immunity Unit,0.3915966386554622
Translational Immunobiology Unit,Neuroimmunology Unit,0.391156462585034
Immunobiology Section,Immune Activation Section,0.39080459770114945
Molecular Signaling Section,Immunobiology Section,0.39080459770114945
Genetic Engineering Section,Disease Modeling and Transmission Section,0.390625
RML Flow Cytometry Unit,Autoimmunity and Functional Genomics Section,0.3905325443786982
Vector Molecular Biology Section,Disease Modeling and Transmission Section,0.39044776119402985
Immunobiology and Molecular Virology Unit,DNA Tumor Virus Section,0.3904282115869018
Host-Pathogen Interactions and Structural Vaccinology Section,Genomic Technologies Section,0.3904109589041096
Plague Section,Pathogen-Host Cell Biology Section,0.3901098901098901
Immune Activation Section,Cell Signaling and Immunity Section,0.38998211091234347
Molecular Signaling Section,Cell Signaling and Immunity Section,0.38998211091234347
Metaorganism Immunity Section,Immune Activation Section,0.38996763754045305
Molecular Signaling Section,Metaorganism Immunity Section,0.38996763754045305
Systems Genomics Section,Pathogen Molecular Genetics Section,0.3898450946643718
Viral Budding Unit,TSE/Prion Molecular Biology Section,0.3894736842105263
Host-Parasite Interactions Section,DNA Tumor Virus Section,0.3894080996884735
Malaria Infection Biology and Immunity Unit,Gene Regulation Section,0.3888888888888889
Molecular Pathogenesis Unit,Malaria Infection Biology and Immunity Unit,0.3888888888888889
Molecular Parasitology Section,Immunity to Pulmonary Pathogens Section,0.38875305623471884
RML Flow Cytometry Unit,HIV Immunovirology Section,0.3886255924170616
TSE/Prion and Retroviral Pathogenesis Section,Innate Immunity and Pathogenesis Section,0.3883495145631068
Immunobiology and Molecular Virology Unit,Caliciviruses Section,0.3880952380952381
T-Lymphocyte Biology Section,Mosquito Immunity and Vector Competence Section,0.3880597014925373
Systems Genomics Section,HIV-Specific Immunity Section,0.388
Host-Pathogen Interactions and Structural Vaccinology Section,Fungal Pathogenesis Section,0.3879781420765027
Salmonella-Host Cell Interactions Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.3879003558718861
Viral Immunology Section,HIV Pathogenesis Section,0.38783269961977185
Pathogen-Host Cell Biology Section,Molecular Pathogenesis and Biomarkers Section,0.3877551020408163
Plague Section,DNA Tumor Virus Section,0.3877551020408163
Pathogen-Host Cell Biology Section,HIV-Specific Immunity Section,0.3872
Viral Immunology Section,Immunobiology and Molecular Virology Unit,0.3867924528301887
Viral Immunology Section,Cellular Immunology Section,0.38660907127429806
Innate Immunity and Pathogenesis Section,Immunobiology and Molecular Virology Unit,0.3865546218487395
Viral Pathogenesis and Vaccine Section,TSE/Prion and Retroviral Pathogenesis Section,0.3863080684596577
Human Eosinophil Section,Cellular Immunology Section,0.3862433862433862
Viral Biochemistry Section,Innate Immunity and Pathogenesis Section,0.3861671469740634
Immunobiology and Molecular Virology Unit,Immunity to Pulmonary Pathogens Section,0.386046511627907
Lymphocyte Biology Section,Clinical and Molecular Retrovirology Section,0.3860232945091514
RNA Viruses Section,Innate Immunity and Pathogenesis Section,0.3858520900321543
Translational Immunobiology Unit,Retroviral Immunology Section,0.38571428571428573
Molecular Pathogenesis and Biomarkers Section,Fungal Pathogenesis Section,0.3854389721627409
Immunopathogenesis Section (Laboratory of Immunoregulation),Emerging Respiratory Viruses Section,0.3851851851851852
Medical Virology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.3851851851851852
Pathogen-Host Cell Biology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.38511749347258484
Molecular Biology Section,Integrative Immunobiology Section,0.38461538461538464
Plague Section,Molecular Parasitology Section,0.38461538461538464
RML Flow Cytometry Unit,Neuroimmunology Unit,0.38461538461538464
Viral Pathogenesis and Vaccine Section,RNA Viruses Section,0.3844282238442822
Retroviral Immunology Section,Molecular Development of the Immune System Section,0.384321223709369
Virus Ecology Section,Molecular Pathogenesis and Biomarkers Section,0.3843137254901961
Molecular Pathogenesis and Biomarkers Section,Chlamydial Diseases Section,0.384
Malaria Immunology Section,Malaria Functional Genomics Section,0.3834841628959276
TSE/Prion Molecular Biology Section,HIV Immunovirology Section,0.383399209486166
Pathogen-Host Cell Biology Section,Molecular and Cellular Immunology Section,0.3832528180354267
Mucosal Immunobiology Section,Metaorganism Immunity Section,0.38320209973753283
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Helminth Immunology Section,0.38307604345340196
